_id,title,metaDescription,status,uniquename,tags,averageRating,numRating,bookmarkCount,video,totalVideoLengthInSeconds,assignment,課程類別,course_url,owner__id,owner_name,estimatedCourseStartTime,createdAt,incubateTime,publishTime,proposalDueTime,isReject,modules,includedKnowledgeCollections,bestDiscount,successCriteria_numSoldTickets
563ab301423bdd0a00103dd7,一張速寫，一個生活故事,線上速寫教學，教你在短時間內用繪畫工具，透過簡練的線條紀錄生活和旅途中的街景與人物。跟著這堂速寫入門課程學習速寫筆觸、線條，教你掌握快速上色的技巧，讓你能就地取材，走到哪畫到哪，用畫筆紀錄生活片刻。,已開課,sketcherwofe,[],4.96,53,1379,5671139804d74d1000caf406,5572.0,563ab301423bdd0a00103dd8,藝術,https://hahow.in/courses/563ab301423bdd0a00103dd7/main,563ab2fa423bdd0a00103dd6,鐘婉綺,2016-04-15T00:00:00.000Z,2015-11-05T01:38:09.000Z,2016-01-31T02:17:49.000Z,2016-04-15T17:14:54.000Z,2016-03-01T00:00:00.000Z,False,['5c91835bed65c200740ef07e'],[],,30
5c39713cf699690021a0fba2,一滑就看完！條漫繪製攻略,條漫繪製課程，教你運用 Clip studio 完成一篇單回結束短篇條漫作品。上完課程你將能完成一篇短篇故事腳本大綱，並依照故事內容完成適合條漫的分鏡。喜歡畫漫畫的你不妨也來嘗試條漫的新趨勢。,已開課,gene2019,[],4.97,38,1079,5c930c54d1cad60020b989b3,13174.0,,藝術,https://hahow.in/courses/5c39713cf699690021a0fba2/main,55fe931b160d9810000898ff,Gene,2019-06-18T16:00:00.000Z,2019-01-12T04:46:52.000Z,2019-03-21T04:00:20.125Z,2019-06-19T08:50:47.683Z,2019-04-19T16:00:00.000Z,False,"['5c91835ded65c200740f0a93', '612354e6e30e70000713f729', '6123562f2ec7a10006e8497a', '61235a542ec7a10006e84d6d']",[],,40
5abe43287997a2001e7c0e01,畫圖無死角，360 度全景透視法,全景透視畫課程，教你透過手繪，打造 360 度空間感的全景透視法。課程適合有透視基礎，但還想再更近一步學習透視，或 想要畫出全景插畫的學生！跟著插畫家 Nuomi 學習無死角的全景插畫，畫建築背景時的視角可以更廣了！,已開課,nuomi360art,[],5.0,24,2148,5b18add4567cc1001e404d8c,17115.0,5abe43287997a2001e7c0e02,藝術,https://hahow.in/courses/5abe43287997a2001e7c0e01/main,58aedee85c4e6507007c4595,Nuomi,2018-09-04T16:00:00.000Z,2018-03-30T14:01:12.000Z,2018-06-07T04:00:20.561Z,2018-09-05T04:00:10.142Z,2018-07-06T16:00:00.000Z,False,['5c91835ced65c200740f0214'],[],,50
5c13514f0c06270020488e89,amps－初階人物繪製基礎概念,人物繪製入門課程，從「臨摹」開始練習，帶你循序漸進提升人物繪製能力。課程中將教你繪製臉部的各種角度畫法，以及不同角色的臉部變化繪製方式，透過臨摹練習，你將更能掌握人物繪製的基礎與概念。,已開課,amps-obata01,[],4.97,37,1449,5c3d5ad4f699690021a17f51,8844.0,,藝術,https://hahow.in/courses/5c13514f0c06270020488e89/main,5bbdcc8c3617e7001e5612a5,amps,2019-04-14T16:00:00.000Z,2018-12-14T06:44:31.000Z,2019-01-15T04:00:20.562Z,2019-04-15T04:00:21.778Z,2019-02-13T16:00:00.000Z,False,['5c91835ded65c200740f08a0'],[],,30
56402c70423bdd0a00104993,他抓得住我！自由筆觸繪出人像靈魂,"放下對繪畫的成見，專心看眼前
拋開""人就該如何畫""的想法
用線條抓出對方的五官、表情、肢體的靈魂
搭配簡單復合媒材，記下由你感受到的他",已開課,catchmysoulfrompaint,[],4.91,53,1058,5683f228e8ff9b20003cf465,5366.0,56402c70423bdd0a00104994,藝術,https://hahow.in/courses/56402c70423bdd0a00104993/main,56402c6a423bdd0a00104992,黃湘,2016-04-04T00:00:00.000Z,2015-11-09T05:17:36.000Z,2016-01-05T06:08:56.000Z,2016-04-06T15:09:21.000Z,2016-02-04T00:00:00.000Z,False,['5c91835bed65c200740ef086'],[],,30
6136dab709aeb400075c6a58,窺探奇美典藏：從名畫探索色彩奧秘,奇美博物館獨家美學課，帶你揭開名畫背後的祕密、體驗修復畫作的樂趣，透過有趣的故事與補色實作，提升色彩感知能力、開啟看畫全新視角！,已開課,chimeimuseum-01,[],4.96,24,393,62048dc22dd97a0006f09c74,10650.0,,藝術,https://hahow.in/courses/6136dab709aeb400075c6a58/main,6136d46109aeb400075c5f88,奇美博物館,2022-05-10T16:00:00.000Z,2021-09-07T03:21:27.000Z,2022-02-10T04:00:02.661Z,2022-05-04T03:59:56.241Z,2022-03-11T16:00:00.000Z,False,"['6136dbd8d89996000644e431', '61de3de8c9419e000747cff0', '61de3e1d2530370006ac13c4']",[],,30
63a66a0d2a1eda5fabe039bc,葉曄的美字養成課：大人小孩的身體記憶書寫,傳統的練字法注重認知導向，本課程嘗試利用身體記憶，讓寫字相關的習慣，更容易調整或重新建立。歡迎正在習字的孩童及大人一起加入。,已開課,ohyeah22,[],0.0,0,264,63be345ee7a0ed894f8e9edd,20247.0,,藝術,https://hahow.in/courses/63a66a0d2a1eda5fabe039bc/main,56d7a23b182fba0e00c6dc77,葉曄,2023-04-10T16:00:00.000Z,2022-12-24T02:55:09.838Z,2023-01-11T04:00:31.004Z,2023-04-11T04:05:18.044Z,2023-02-24T15:59:59.000Z,False,"['63a8f3e0ca2cdb432bcc04fa', '63a8f47ba4e2f1d3cd499bff', '641835524fea4842ace26abc', '64183577b2148441e22faa9a', '64183591176af0d1f561d906', '6418c634b6cc5d363605bb90', '641835ada64465315953df6f', '6434cd6f8ecbff17c9f341c2', '6434cd988ecbff96bcf34fd9']",[],,30
5780d82fd0c3030700412ef1,復古風味色鉛筆食品速寫,復古色鉛筆食品速寫課程，教你用色鉛筆和牛皮紙來畫出復古風格的食物插畫速寫。學習用色鉛筆捕捉甜品、飲品和器皿的樣貌，掌握蛋糕、液體和容器材質的繪畫方式，你也能用色鉛筆完成復古風味的食品速寫！,已開課,ouncestudio,[],4.97,67,1521,57d674eeed63880700da276c,4832.0,5780d82fd0c3030700412ef2,藝術,https://hahow.in/courses/5780d82fd0c3030700412ef1/main,5780d61cd0c3030700412eeb,lesliewang,2016-12-13T00:00:00.000Z,2016-07-09T10:55:43.000Z,2016-09-14T05:52:17.000Z,2016-12-13T01:35:28.012Z,2016-10-14T00:00:00.000Z,False,['5c91835bed65c200740ef1fb'],[],,30
5cdcff9125599e0022bb6a78,從興趣到接案：建立專業插畫創作流程,"插畫接案時，不同插畫師都有不同的接案方式與流程來服務客戶，但是歐美完善的插畫市場環境和接案方式又有何不同呢？
本課程將提供給剛進入插畫行業和希望投入插畫市場的學員，安排一套歐美教育的專業習慣養成，讓學習課完程的學員，可以了解插畫與生活上密不可分的關係和廣泛的市場運用，並學習到歐美給予專業化教育的插畫創作練習方式；最後則會分享我接案的實例，分解每個階段的流程給各位參考，也會分享插畫接案該有的專業概念，讓往後的合作客戶能夠感受到你的專業性，也能提高與客戶接案合作上的品質。
",已開課,ymhartsop,[],4.94,33,1572,5da6d0bdab8845002093f37c,7659.0,,藝術,https://hahow.in/courses/5cdcff9125599e0022bb6a78/main,5c6b01e43bc70e0020a413fb,Yu-Ming Huang,2020-01-12T16:00:00.000Z,2019-05-16T06:13:37.000Z,2019-10-15T04:00:20.241Z,2020-01-13T04:00:35.255Z,2019-11-13T16:00:00.000Z,False,"['5cdd1c3b91a3ab0020620b77', '5cdd281e91a3ab0020621a94', '5cdd287091a3ab0020621aa7', '5df89f0360f8440021cb85a8']",[],,50
5ea7da19bb90a4bffd4c71fe,微甜的仲夏氣息：雪莉療癒水彩時光,水彩教學課程，教你畫出寫實細膩風格，同時兼具美味及美感的冰品。,已開課,sherrypainting3,[],5.0,26,723,5ed5cecf77db97ea1bc9ba47,19063.0,,藝術,https://hahow.in/courses/5ea7da19bb90a4bffd4c71fe/main,5947c852d0472a0700f2add7,Sherry雪莉,2020-08-30T16:00:00.000Z,2020-04-28T07:24:09.000Z,2020-06-02T04:00:15.484Z,2020-08-31T04:00:20.901Z,2020-07-01T16:00:00.000Z,False,"['5ebe3e17a4b5e96fca34226f', '5ec0e2e59818587114c13b22', '5ec0e24e6720705a5ead841a', '5ec0e2dadfd6d22b429edd61', '5f325aa4d2f5ad458194b7d0', '5f325b49d2f5ad822494b857']",[],,30
